,PCT Change %,ticker
2026-05-15,3.348,BZ=F
2026-05-18,2.599,BZ=F
2026-05-20,-5.625,BZ=F
2026-05-21,-2.323,BZ=F
2026-05-26,-3.825,BZ=F
2026-05-27,-5.312,BZ=F
2026-06-01,3.183,BZ=F
2026-06-04,-2.842,BZ=F
2026-06-05,-2.041,BZ=F
2026-06-09,-2.971,BZ=F
2026-06-11,-2.922,BZ=F
2026-06-12,-3.375,BZ=F
