,Oil,Oil,NZD/USD,NZD/USD,10-Yr Rate,10-Yr Rate,AIR.NZ,AIR.NZ
,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor
2016-09-06,0.918,BZ=F,0.205,NZDUSD=X,-3.321,^TNX,1.489,AIR.NZ
2016-09-07,1.523,BZ=F,1.522,NZDUSD=X,-0.13,^TNX,1.048,AIR.NZ
2016-09-08,4.189,BZ=F,0.395,NZDUSD=X,4.867,^TNX,-0.0,AIR.NZ
2016-09-09,-3.961,BZ=F,-0.615,NZDUSD=X,3.465,^TNX,-0.728,AIR.NZ
2016-09-12,0.646,BZ=F,-0.939,NZDUSD=X,0.0,^TNX,-5.379,AIR.NZ
2016-09-13,-2.525,BZ=F,0.376,NZDUSD=X,3.708,^TNX,2.584,AIR.NZ
2016-09-14,-2.654,BZ=F,-1.53,NZDUSD=X,-2.595,^TNX,-2.519,AIR.NZ
2016-09-15,1.614,BZ=F,0.291,NZDUSD=X,0.829,^TNX,-0.258,AIR.NZ
2016-09-16,-1.76,BZ=F,0.696,NZDUSD=X,-0.117,^TNX,0.518,AIR.NZ
2016-09-19,0.393,BZ=F,-0.655,NZDUSD=X,-0.294,^TNX,0.516,AIR.NZ
2016-09-20,-0.152,BZ=F,0.409,NZDUSD=X,-0.472,^TNX,0.256,AIR.NZ
2016-09-21,2.071,BZ=F,0.249,NZDUSD=X,-1.185,^TNX,-3.325,AIR.NZ
2016-09-22,1.751,BZ=F,0.316,NZDUSD=X,-2.158,^TNX,-0.794,AIR.NZ
2016-09-23,-3.694,BZ=F,-0.439,NZDUSD=X,-1.042,^TNX,-2.933,AIR.NZ
2016-09-26,3.182,BZ=F,-1.071,NZDUSD=X,-1.61,^TNX,-1.099,AIR.NZ
2016-09-27,-2.914,BZ=F,0.568,NZDUSD=X,-2.077,^TNX,2.778,AIR.NZ
2016-09-28,5.917,BZ=F,0.277,NZDUSD=X,0.707,^TNX,1.351,AIR.NZ
2016-09-29,1.13,BZ=F,-0.146,NZDUSD=X,-0.638,^TNX,-0.8,AIR.NZ
2016-09-30,-0.366,BZ=F,-0.551,NZDUSD=X,3.276,^TNX,0.0,AIR.NZ
2016-10-03,0.082,BZ=F,0.276,NZDUSD=X,0.871,^TNX,-2.151,AIR.NZ
2016-10-04,3.605,BZ=F,0.431,NZDUSD=X,3.761,^TNX,-1.648,AIR.NZ
2016-10-05,1.946,BZ=F,-1.495,NZDUSD=X,1.961,^TNX,0.279,AIR.NZ
2016-10-06,1.253,BZ=F,-0.215,NZDUSD=X,1.515,^TNX,-1.393,AIR.NZ
2016-10-07,-1.105,BZ=F,-0.122,NZDUSD=X,-0.344,^TNX,0.0,AIR.NZ
2016-10-11,0.924,BZ=F,-0.606,NZDUSD=X,2.089,^TNX,-0.562,AIR.NZ
2016-10-12,-1.145,BZ=F,-0.63,NZDUSD=X,1.08,^TNX,1.695,AIR.NZ
2016-10-13,0.425,BZ=F,-0.5,NZDUSD=X,-2.25,^TNX,-4.722,AIR.NZ
2016-10-14,-0.154,BZ=F,0.546,NZDUSD=X,3.222,^TNX,1.749,AIR.NZ
2016-10-17,-0.828,BZ=F,0.05,NZDUSD=X,-1.561,^TNX,0.573,AIR.NZ
2016-10-18,0.311,BZ=F,1.184,NZDUSD=X,-0.963,^TNX,2.564,AIR.NZ
2016-10-19,1.916,BZ=F,0.447,NZDUSD=X,0.172,^TNX,0.833,AIR.NZ
2016-10-20,-2.449,BZ=F,0.362,NZDUSD=X,-0.285,^TNX,-0.551,AIR.NZ
2016-10-21,0.779,BZ=F,-0.568,NZDUSD=X,-0.401,^TNX,1.939,AIR.NZ
2016-10-24,-0.618,BZ=F,-0.479,NZDUSD=X,1.322,^TNX,,
2016-10-25,-1.302,BZ=F,-0.371,NZDUSD=X,-0.284,^TNX,3.804,AIR.NZ
2016-10-26,-1.595,BZ=F,0.545,NZDUSD=X,1.82,^TNX,0.785,AIR.NZ
2016-10-27,0.98,BZ=F,-0.207,NZDUSD=X,2.961,^TNX,-0.26,AIR.NZ
2016-10-28,-1.506,BZ=F,-0.385,NZDUSD=X,0.109,^TNX,0.521,AIR.NZ
2016-10-31,-2.836,BZ=F,0.552,NZDUSD=X,-0.596,^TNX,0.0,AIR.NZ
2016-11-01,0.062,BZ=F,-0.107,NZDUSD=X,-0.763,^TNX,-0.518,AIR.NZ
2016-11-02,-3.042,BZ=F,0.685,NZDUSD=X,-1.154,^TNX,0.0,AIR.NZ
2016-11-03,-1.088,BZ=F,1.063,NZDUSD=X,0.723,^TNX,-1.042,AIR.NZ
2016-11-04,-1.661,BZ=F,0.667,NZDUSD=X,-1.6,^TNX,-1.579,AIR.NZ
2016-11-07,1.251,BZ=F,-0.161,NZDUSD=X,2.524,^TNX,2.941,AIR.NZ
2016-11-08,-0.238,BZ=F,0.25,NZDUSD=X,1.86,^TNX,0.26,AIR.NZ
2016-11-09,0.695,BZ=F,0.442,NZDUSD=X,11.278,^TNX,-2.073,AIR.NZ
2016-11-10,-1.122,BZ=F,-1.108,NZDUSD=X,2.172,^TNX,1.058,AIR.NZ
2016-11-14,-3.076,BZ=F,-1.5,NZDUSD=X,4.96,^TNX,0.517,AIR.NZ
2016-11-15,5.672,BZ=F,0.314,NZDUSD=X,0.72,^TNX,1.285,AIR.NZ
2016-11-16,-0.682,BZ=F,-0.518,NZDUSD=X,-0.67,^TNX,1.523,AIR.NZ
2016-11-17,-0.3,BZ=F,0.028,NZDUSD=X,2.384,^TNX,-1.0,AIR.NZ
2016-11-18,0.796,BZ=F,-1.074,NZDUSD=X,2.592,^TNX,0.0,AIR.NZ
2016-11-21,4.353,BZ=F,-0.329,NZDUSD=X,0.171,^TNX,1.515,AIR.NZ
2016-11-22,0.45,BZ=F,1.14,NZDUSD=X,-0.77,^TNX,0.0,AIR.NZ
2016-11-23,-0.346,BZ=F,-0.12,NZDUSD=X,1.551,^TNX,0.0,AIR.NZ
2016-11-25,-3.493,BZ=F,0.161,NZDUSD=X,0.636,^TNX,1.75,AIR.NZ
2016-11-28,2.117,BZ=F,0.578,NZDUSD=X,-2.192,^TNX,1.966,AIR.NZ
2016-11-29,-3.856,BZ=F,0.503,NZDUSD=X,-0.776,^TNX,1.205,AIR.NZ
2016-11-30,8.818,BZ=F,0.699,NZDUSD=X,2.867,^TNX,2.857,AIR.NZ
2016-12-01,-0.02,BZ=F,-0.8,NZDUSD=X,3.083,^TNX,0.463,AIR.NZ
2016-12-02,7.927,BZ=F,0.291,NZDUSD=X,-2.089,^TNX,-1.382,AIR.NZ
2016-12-05,0.881,BZ=F,0.064,NZDUSD=X,-0.126,^TNX,0.467,AIR.NZ
2016-12-06,-1.838,BZ=F,0.571,NZDUSD=X,0.377,^TNX,0.233,AIR.NZ
2016-12-07,-1.724,BZ=F,-0.228,NZDUSD=X,-2.045,^TNX,-0.696,AIR.NZ
2016-12-08,1.679,BZ=F,0.776,NZDUSD=X,1.704,^TNX,1.635,AIR.NZ
2016-12-09,0.816,BZ=F,-0.029,NZDUSD=X,3.226,^TNX,-0.69,AIR.NZ
2016-12-12,2.503,BZ=F,-0.713,NZDUSD=X,0.609,^TNX,-1.852,AIR.NZ
2016-12-13,0.054,BZ=F,0.994,NZDUSD=X,0.081,^TNX,0.236,AIR.NZ
2016-12-14,-3.266,BZ=F,0.058,NZDUSD=X,1.773,^TNX,1.176,AIR.NZ
2016-12-15,0.223,BZ=F,-1.196,NZDUSD=X,2.178,^TNX,-0.698,AIR.NZ
2016-12-16,2.203,BZ=F,-0.966,NZDUSD=X,0.659,^TNX,-0.703,AIR.NZ
2016-12-19,-0.525,BZ=F,-1.212,NZDUSD=X,-2.118,^TNX,0.472,AIR.NZ
2016-12-20,0.783,BZ=F,-0.499,NZDUSD=X,1.023,^TNX,0.0,AIR.NZ
2016-12-21,-1.608,BZ=F,0.014,NZDUSD=X,-0.857,^TNX,0.704,AIR.NZ
2016-12-22,1.083,BZ=F,-0.373,NZDUSD=X,0.275,^TNX,-2.098,AIR.NZ
2016-12-23,0.2,BZ=F,0.028,NZDUSD=X,-0.392,^TNX,0.476,AIR.NZ
2016-12-27,1.686,BZ=F,-0.034,NZDUSD=X,0.786,^TNX,0.0,AIR.NZ
2016-12-28,0.232,BZ=F,0.2,NZDUSD=X,-2.224,^TNX,0.474,AIR.NZ
2016-12-29,-0.142,BZ=F,0.436,NZDUSD=X,-1.157,^TNX,2.358,AIR.NZ
2016-12-30,-0.018,BZ=F,0.648,NZDUSD=X,-1.252,^TNX,1.152,AIR.NZ
2017-01-03,-1.176,BZ=F,-0.035,NZDUSD=X,0.164,^TNX,,
2017-01-04,1.785,BZ=F,-0.118,NZDUSD=X,0.082,^TNX,0.228,AIR.NZ
2017-01-05,0.762,BZ=F,0.571,NZDUSD=X,-3.426,^TNX,1.818,AIR.NZ
2017-01-06,0.369,BZ=F,0.836,NZDUSD=X,2.111,^TNX,0.446,AIR.NZ
2017-01-09,-3.783,BZ=F,-0.766,NZDUSD=X,-1.737,^TNX,0.0,AIR.NZ
2017-01-10,-2.366,BZ=F,0.723,NZDUSD=X,0.126,^TNX,-0.667,AIR.NZ
2017-01-11,2.722,BZ=F,-0.482,NZDUSD=X,-0.378,^TNX,0.224,AIR.NZ
2017-01-12,1.652,BZ=F,1.187,NZDUSD=X,-0.38,^TNX,1.339,AIR.NZ
